FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\gasla\Documents\2CM4_DA2\assignment_2_heatflow.pde  19:55:20 2/8/24
Using 1 Thread(s)
 +00:00:01| Step 45 Time= 3.163581 Dt= 0.254619 Nodes=812 Cells=379 RMS ERR= 0.005398 MAX ERR= 0.007764 TIME ERR= 3.187e-4 MEM=1244
 +00:00:01| Step 46 Time= 3.449269 Dt= 0.285688 Nodes=792 Cells=369 RMS ERR= 0.005584 MAX ERR= 0.007919 TIME ERR= 0.003625 MEM=1244
 +00:00:01| Step 47 Time= 3.683573 Dt= 0.234305 Nodes=815 Cells=380 RMS ERR= 0.004858 MAX ERR= 0.007000 TIME ERR= 0.004035 MEM=1248
 +00:00:01| Step 48 Time= 3.868997 Dt= 0.185424 Nodes=815 Cells=380 RMS ERR= 0.004838 MAX ERR= 0.006984 TIME ERR= 0.002713 MEM=1248
 +00:00:01| Step 49 Time= 4.036496 Dt= 0.167499 Nodes=815 Cells=380 RMS ERR= 0.004819 MAX ERR= 0.006958 TIME ERR= 5.136e-4 MEM=1248
 +00:00:01| Step 50 Time= 4.224433 Dt= 0.187937 Nodes=815 Cells=380 RMS ERR= 0.004746 MAX ERR= 0.006852 TIME ERR= 5.250e-4 MEM=1248
 +00:00:01| Step 51 Time= 4.435301 Dt= 0.210868 Nodes=815 Cells=380 RMS ERR= 0.004665 MAX ERR= 0.006735 TIME ERR= 4.011e-4 MEM=1248
 +00:00:01| Step 52 Time= 4.671899 Dt= 0.236598 Nodes=815 Cells=380 RMS ERR= 0.004590 MAX ERR= 0.006630 TIME ERR= 3.413e-4 MEM=1248
 +00:00:01| Step 53 Time= 4.937366 Dt= 0.265467 Nodes=815 Cells=380 RMS ERR= 0.004523 MAX ERR= 0.006537 TIME ERR= 2.654e-4 MEM=1248
 +00:00:01| Step 54 Time= 5.235226 Dt= 0.297859 Nodes=815 Cells=380 RMS ERR= 0.004462 MAX ERR= 0.006451 TIME ERR= 2.148e-4 MEM=1248
 +00:00:01| Step 55 Time= 5.569430 Dt= 0.334204 Nodes=815 Cells=380 RMS ERR= 0.004406 MAX ERR= 0.006372 TIME ERR= 1.700e-4 MEM=1248
 +00:00:01| Step 56 Time= 5.944412 Dt= 0.374983 Nodes=815 Cells=380 RMS ERR= 0.004353 MAX ERR= 0.006298 TIME ERR= 1.375e-4 MEM=1248
 +00:00:01| Step 57 Time= 6.365150 Dt= 0.420738 Nodes=811 Cells=378 RMS ERR= 0.006071 MAX ERR= 0.008737 TIME ERR= 1.169e-4 MEM=1248
 +00:00:01| Step 58 Time= 6.837225 Dt= 0.472075 Nodes=815 Cells=380 RMS ERR= 0.005600 MAX ERR= 0.008116 TIME ERR= 0.003551 MEM=1248
 +00:00:01| Step 59 Time= 7.227081 Dt= 0.389856 Nodes=815 Cells=380 RMS ERR= 0.005522 MAX ERR= 0.008004 TIME ERR= 0.003801 MEM=1248
 +00:00:01| Step 60 Time= 7.541825 Dt= 0.314744 Nodes=815 Cells=380 RMS ERR= 0.005468 MAX ERR= 0.007925 TIME ERR= 7.005e-4 MEM=1248
 +00:00:01| Step 61 Time= 7.894974 Dt= 0.353149 Nodes=815 Cells=380 RMS ERR= 0.005411 MAX ERR= 0.007843 TIME ERR= 4.970e-4 MEM=1248
 +00:00:01| Step 62 Time= 8.291213 Dt= 0.396239 Nodes=815 Cells=380 RMS ERR= 0.005327 MAX ERR= 0.007720 TIME ERR= 2.514e-4 MEM=1248
 +00:00:01| Step 63 Time= 8.735801 Dt= 0.444588 Nodes=811 Cells=378 RMS ERR= 0.005020 MAX ERR= 0.007273 TIME ERR= 1.252e-4 MEM=1248
 +00:00:01| STEP FAILED. RETRY at Dt= 0.346836
 +00:00:01| Step 64 Time= 9.082637 Dt= 0.346836 Nodes=798 Cells=371 RMS ERR= 0.004383 MAX ERR= 0.006327 TIME ERR= 0.004445 MEM=1248
 +00:00:01| Step 65 Time= 9.429473 Dt= 0.346836 Nodes=818 Cells=381 RMS ERR= 0.003154 MAX ERR= 0.004570 TIME ERR= 0.004713 MEM=1253
 +00:00:01| Step 66 Time= 9.690102 Dt= 0.260629 Nodes=818 Cells=381 RMS ERR= 0.003131 MAX ERR= 0.004537 TIME ERR= 0.003096 MEM=1254
 +00:00:01| Step 67 Time= 9.915402 Dt= 0.225300 Nodes=818 Cells=381 RMS ERR= 0.003112 MAX ERR= 0.004511 TIME ERR= 5.193e-4 MEM=1254
 +00:00:01| Step 68 Time= 10.16819 Dt= 0.252791 Nodes=818 Cells=381 RMS ERR= 0.003092 MAX ERR= 0.004482 TIME ERR= 5.328e-4 MEM=1254
 +00:00:01| Step 69 Time= 10.45183 Dt= 0.283636 Nodes=818 Cells=381 RMS ERR= 0.003071 MAX ERR= 0.004450 TIME ERR= 3.728e-4 MEM=1254
 +00:00:01| Step 70 Time= 10.77007 Dt= 0.318245 Nodes=818 Cells=381 RMS ERR= 0.003048 MAX ERR= 0.004417 TIME ERR= 2.229e-4 MEM=1254
 +00:00:01| Step 71 Time= 11.12715 Dt= 0.357076 Nodes=818 Cells=381 RMS ERR= 0.003023 MAX ERR= 0.004382 TIME ERR= 1.287e-4 MEM=1254
